Current (mA)	Voltage (V)
-20.000000000	-0.101401000
-19.800000000	-0.100400900
-19.600000000	-0.099369080
-19.400000000	-0.098376050
-19.200000000	-0.097346220
-19.000000000	-0.096327910
-18.800000000	-0.095326610
-18.600000000	-0.094298530
-18.400000000	-0.093301440
-18.200000000	-0.092271830
-18.000000000	-0.091262620
-17.800000000	-0.090232160
-17.600000000	-0.089216530
-17.400000000	-0.088206490
-17.200000000	-0.087172490
-17.000000000	-0.086189830
-16.800000000	-0.085159550
-16.600000000	-0.084166710
-16.400000000	-0.083137390
-16.200000000	-0.082127180
-16.000000000	-0.081101150
-15.800000000	-0.080070140
-15.600000000	-0.079076920
-15.400000000	-0.078045320
-15.200000000	-0.077045570
-15.000000000	-0.076028910
-14.800000000	-0.075027020
-14.600000000	-0.074000940
-14.400000000	-0.072994510
-14.200000000	-0.071994790
-14.000000000	-0.070944920
-13.800000000	-0.069947100
-13.600000000	-0.068918090
-13.400000000	-0.067915890
-13.200000000	-0.066906060
-13.000000000	-0.065895880
-12.800000000	-0.064888930
-12.600000000	-0.063866350
-12.400000000	-0.062862310
-12.200000000	-0.061833670
-12.000000000	-0.060818440
-11.800000000	-0.059785760
-11.600000000	-0.058783910
-11.400000000	-0.057774130
-11.200000000	-0.056749500
-11.000000000	-0.055751950
-10.800000000	-0.054736000
-10.600000000	-0.053723420
-10.400000000	-0.052727690
-10.200000000	-0.051719420
-10.000000000	-0.050714960
-9.800000000	-0.049680580
-9.600000000	-0.048684000
-9.400000000	-0.047651160
-9.200000000	-0.046651030
-9.000000000	-0.045634630
-8.800000000	-0.044628550
-8.600000000	-0.043613200
-8.400000000	-0.042592200
-8.200000000	-0.041600570
-8.000000000	-0.040561120
-7.800000000	-0.039559300
-7.600000000	-0.038521510
-7.400000000	-0.037519950
-7.200000000	-0.036513880
-7.000000000	-0.035500590
-6.800000000	-0.034500350
-6.600000000	-0.033466770
-6.400000000	-0.032473610
-6.200000000	-0.031446600
-6.000000000	-0.030427360
-5.800000000	-0.029412990
-5.600000000	-0.028405340
-5.400000000	-0.027392840
-5.200000000	-0.026364110
-5.000000000	-0.025370920
-4.800000000	-0.024358250
-4.600000000	-0.023349190
-4.400000000	-0.022318760
-4.200000000	-0.021289480
-4.000000000	-0.020288490
-3.800000000	-0.019261610
-3.600000000	-0.018264920
-3.400000000	-0.017242280
-3.200000000	-0.016231250
-3.000000000	-0.015226180
-2.800000000	-0.014195110
-2.600000000	-0.013190160
-2.400000000	-0.012161480
-2.200000000	-0.011162290
-2.000000000	-0.010129460
-1.800000000	-0.009131162
-1.600000000	-0.008111796
-1.400000000	-0.007111821
-1.200000000	-0.006105081
-1.000000000	-0.005070566
-0.800000000	-0.004070572
-0.600000000	-0.003048694
-0.400000000	-0.002048691
-0.200000000	-0.001024300
0.000000000	-0.000023455
0.200000000	0.001015977
0.400000000	0.002016689
0.600000000	0.003048543
0.800000000	0.004046720
1.000000000	0.005049989
1.200000000	0.006089433
1.400000000	0.007093467
1.600000000	0.008119429
1.800000000	0.009117617
2.000000000	0.010121730
2.200000000	0.011136730
2.400000000	0.012139970
2.600000000	0.013166770
2.800000000	0.014196130
3.000000000	0.015199340
3.200000000	0.016225290
3.400000000	0.017217600
3.600000000	0.018244400
3.800000000	0.019244180
4.000000000	0.020268630
4.200000000	0.021285240
4.400000000	0.022299440
4.600000000	0.023314480
4.800000000	0.024330380
5.000000000	0.025351250
5.200000000	0.026354450
5.400000000	0.027365320
5.600000000	0.028372580
5.800000000	0.029382820
6.000000000	0.030423010
6.200000000	0.031426240
6.400000000	0.032458880
6.600000000	0.033460780
6.800000000	0.034458890
7.000000000	0.035475270
7.200000000	0.036480320
7.400000000	0.037509840
7.600000000	0.038514520
7.800000000	0.039542180
8.000000000	0.040552150
8.200000000	0.041567230
8.400000000	0.042583090
8.600000000	0.043580300
8.800000000	0.044598720
9.000000000	0.045606320
9.200000000	0.046633860
9.400000000	0.047642280
9.600000000	0.048670570
9.800000000	0.049695770
10.000000000	0.050692400
10.200000000	0.051717480
10.400000000	0.052712250
10.600000000	0.053745040
10.800000000	0.054747370
11.000000000	0.055747110
11.200000000	0.056777410
11.400000000	0.057778020
11.600000000	0.058812540
11.800000000	0.059803900
12.000000000	0.060845070
12.200000000	0.061833940
12.400000000	0.062858160
12.600000000	0.063872480
12.800000000	0.064863070
13.000000000	0.065899860
13.200000000	0.066889290
13.400000000	0.067942040
13.600000000	0.068944970
13.800000000	0.069960080
14.000000000	0.070972110
14.200000000	0.071978700
14.400000000	0.073005890
14.600000000	0.073997270
14.800000000	0.075029310
15.000000000	0.076025720
15.200000000	0.077051570
15.400000000	0.078066330
15.600000000	0.079094550
15.800000000	0.080127010
16.000000000	0.081112710
16.200000000	0.082148130
16.400000000	0.083141070
16.600000000	0.084163670
16.800000000	0.085182210
17.000000000	0.086186860
17.200000000	0.087216180
17.400000000	0.088217080
17.600000000	0.089249280
17.800000000	0.090247720
18.000000000	0.091281300
18.200000000	0.092286880
18.400000000	0.093307450
18.600000000	0.094305610
18.800000000	0.095311110
19.000000000	0.096342240
19.200000000	0.097343230
19.400000000	0.098377910
19.600000000	0.099378970
19.800000000	0.100410000
20.000000000	0.101420600
