Current (mA)	Voltage (V)
-20.000000000	-0.117950800
-19.800000000	-0.116769500
-19.600000000	-0.115582400
-19.400000000	-0.114418400
-19.200000000	-0.113221600
-19.000000000	-0.112042300
-18.800000000	-0.110866300
-18.600000000	-0.109683300
-18.400000000	-0.108519600
-18.200000000	-0.107317600
-18.000000000	-0.106166900
-17.800000000	-0.104968500
-17.600000000	-0.103800900
-17.400000000	-0.102599300
-17.200000000	-0.101407400
-17.000000000	-0.100246000
-16.800000000	-0.099045780
-16.600000000	-0.097888500
-16.400000000	-0.096688460
-16.200000000	-0.095524130
-16.000000000	-0.094342650
-15.800000000	-0.093162350
-15.600000000	-0.091986940
-15.400000000	-0.090796860
-15.200000000	-0.089639460
-15.000000000	-0.088421500
-14.800000000	-0.087271000
-14.600000000	-0.086059120
-14.400000000	-0.084901010
-14.200000000	-0.083705310
-14.000000000	-0.082541030
-13.800000000	-0.081382230
-13.600000000	-0.080179210
-13.400000000	-0.079022980
-13.200000000	-0.077812870
-13.000000000	-0.076650970
-12.800000000	-0.075457740
-12.600000000	-0.074288630
-12.400000000	-0.073095380
-12.200000000	-0.071894220
-12.000000000	-0.070760220
-11.800000000	-0.069551210
-11.600000000	-0.068398880
-11.400000000	-0.067197110
-11.200000000	-0.066022970
-11.000000000	-0.064834740
-10.800000000	-0.063645000
-10.600000000	-0.062481950
-10.400000000	-0.061344940
-10.200000000	-0.060186780
-10.000000000	-0.058977070
-9.800000000	-0.057811290
-9.600000000	-0.056618410
-9.400000000	-0.055442470
-9.200000000	-0.054286840
-9.000000000	-0.053071570
-8.800000000	-0.051920840
-8.600000000	-0.050710760
-8.400000000	-0.049553580
-8.200000000	-0.048366150
-8.000000000	-0.047182630
-7.800000000	-0.046025480
-7.600000000	-0.044834520
-7.400000000	-0.043673090
-7.200000000	-0.042476450
-7.000000000	-0.041300410
-6.800000000	-0.040110410
-6.600000000	-0.038927700
-6.400000000	-0.037755540
-6.200000000	-0.036552940
-6.000000000	-0.035418070
-5.800000000	-0.034217800
-5.600000000	-0.033057250
-5.400000000	-0.031856190
-5.200000000	-0.030664740
-5.000000000	-0.029492030
-4.800000000	-0.028292800
-4.600000000	-0.027138860
-4.400000000	-0.025948690
-4.200000000	-0.024779670
-4.000000000	-0.023598000
-3.800000000	-0.022414730
-3.600000000	-0.021238960
-3.400000000	-0.020051280
-3.200000000	-0.018886520
-3.000000000	-0.017680390
-2.800000000	-0.016517190
-2.600000000	-0.015324730
-2.400000000	-0.014163970
-2.200000000	-0.013001640
-2.000000000	-0.011798970
-1.800000000	-0.010640880
-1.600000000	-0.009429735
-1.400000000	-0.008270737
-1.200000000	-0.007082375
-1.000000000	-0.005931764
-0.800000000	-0.004732466
-0.600000000	-0.003560900
-0.400000000	-0.002367476
-0.200000000	-0.001169804
0.000000000	-0.000010839
0.200000000	0.001172388
0.400000000	0.002358132
0.600000000	0.003521984
0.800000000	0.004690914
1.000000000	0.005885877
1.200000000	0.007077503
1.400000000	0.008256513
1.600000000	0.009422064
1.800000000	0.010585060
2.000000000	0.011812910
2.200000000	0.012954860
2.400000000	0.014146490
2.600000000	0.015318760
2.800000000	0.016482590
3.000000000	0.017699500
3.200000000	0.018856620
3.400000000	0.020056620
3.600000000	0.021218860
3.800000000	0.022389560
4.000000000	0.023570110
4.200000000	0.024734850
4.400000000	0.025942420
4.600000000	0.027103100
4.800000000	0.028300450
5.000000000	0.029482820
5.200000000	0.030651140
5.400000000	0.031828230
5.600000000	0.033001400
5.800000000	0.034198860
6.000000000	0.035361070
6.200000000	0.036558600
6.400000000	0.037723210
6.600000000	0.038918320
6.800000000	0.040113310
7.000000000	0.041253470
7.200000000	0.042467150
7.400000000	0.043613250
7.600000000	0.044810820
7.800000000	0.046006490
8.000000000	0.047190540
8.200000000	0.048377240
8.400000000	0.049530920
8.600000000	0.050730070
8.800000000	0.051887310
9.000000000	0.053076380
9.200000000	0.054254680
9.400000000	0.055432630
9.600000000	0.056627650
9.800000000	0.057783760
10.000000000	0.058993230
10.200000000	0.060157850
10.400000000	0.061347870
10.600000000	0.062486720
10.800000000	0.063689110
11.000000000	0.064862010
11.200000000	0.066025120
11.400000000	0.067226870
11.600000000	0.068396720
11.800000000	0.069588200
12.000000000	0.070769870
12.200000000	0.071941950
12.400000000	0.073128380
12.600000000	0.074293330
12.800000000	0.075489680
13.000000000	0.076649810
13.200000000	0.077847320
13.400000000	0.079010980
13.600000000	0.080216260
13.800000000	0.081418750
14.000000000	0.082582460
14.200000000	0.083774300
14.400000000	0.084935540
14.600000000	0.086128170
14.800000000	0.087296850
15.000000000	0.088476630
15.200000000	0.089655820
15.400000000	0.090836560
15.600000000	0.092029870
15.800000000	0.093190960
16.000000000	0.094398560
16.200000000	0.095561710
16.400000000	0.096755070
16.600000000	0.097923990
16.800000000	0.099086310
17.000000000	0.100276700
17.200000000	0.101446100
17.400000000	0.102647700
17.600000000	0.103816500
17.800000000	0.105009200
18.000000000	0.106188900
18.200000000	0.107358300
18.400000000	0.108551700
18.600000000	0.109719900
18.800000000	0.110916600
19.000000000	0.112076200
19.200000000	0.113267000
19.400000000	0.114449100
19.600000000	0.115636700
19.800000000	0.116847400
20.000000000	0.117982700
