Current (mA)	Voltage (V)
-20.000000000	-0.147141900
-19.800000000	-0.145681800
-19.600000000	-0.144205900
-19.400000000	-0.142743100
-19.200000000	-0.141252000
-19.000000000	-0.139779400
-18.800000000	-0.138305800
-18.600000000	-0.136835700
-18.400000000	-0.135374100
-18.200000000	-0.133884300
-18.000000000	-0.132433700
-17.800000000	-0.130943300
-17.600000000	-0.129485000
-17.400000000	-0.127998100
-17.200000000	-0.126520400
-17.000000000	-0.125048200
-16.800000000	-0.123571500
-16.600000000	-0.122116700
-16.400000000	-0.120631700
-16.200000000	-0.119152100
-16.000000000	-0.117692500
-15.800000000	-0.116204900
-15.600000000	-0.114759100
-15.400000000	-0.113272600
-15.200000000	-0.111793400
-15.000000000	-0.110313500
-14.800000000	-0.108848800
-14.600000000	-0.107388100
-14.400000000	-0.105905800
-14.200000000	-0.104450400
-14.000000000	-0.102961900
-13.800000000	-0.101509700
-13.600000000	-0.100036500
-13.400000000	-0.098556150
-13.200000000	-0.097086790
-13.000000000	-0.095606680
-12.800000000	-0.094122880
-12.600000000	-0.092672400
-12.400000000	-0.091187690
-12.200000000	-0.089714420
-12.000000000	-0.088231240
-11.800000000	-0.086779060
-11.600000000	-0.085312050
-11.400000000	-0.083835400
-11.200000000	-0.082373310
-11.000000000	-0.080882320
-10.800000000	-0.079435990
-10.600000000	-0.077942970
-10.400000000	-0.076545160
-10.200000000	-0.075058490
-10.000000000	-0.073582150
-9.800000000	-0.072109770
-9.600000000	-0.070632790
-9.400000000	-0.069170490
-9.200000000	-0.067689870
-9.000000000	-0.066233180
-8.800000000	-0.064758870
-8.600000000	-0.063290230
-8.400000000	-0.061817680
-8.200000000	-0.060341210
-8.000000000	-0.058875630
-7.800000000	-0.057387930
-7.600000000	-0.055917750
-7.400000000	-0.054440650
-7.200000000	-0.052986590
-7.000000000	-0.051514090
-6.800000000	-0.050045560
-6.600000000	-0.048584820
-6.400000000	-0.047098650
-6.200000000	-0.045630060
-6.000000000	-0.044149270
-5.800000000	-0.042687350
-5.600000000	-0.041201130
-5.400000000	-0.039719290
-5.200000000	-0.038265010
-5.000000000	-0.036790730
-4.800000000	-0.035313870
-4.600000000	-0.033856250
-4.400000000	-0.032376800
-4.200000000	-0.030920990
-4.000000000	-0.029432500
-3.800000000	-0.027972300
-3.600000000	-0.026484450
-3.400000000	-0.025013610
-3.200000000	-0.023544160
-3.000000000	-0.022065670
-2.800000000	-0.020614010
-2.600000000	-0.019132030
-2.400000000	-0.017675320
-2.200000000	-0.016190880
-2.000000000	-0.014724070
-1.800000000	-0.013248930
-1.600000000	-0.011771180
-1.400000000	-0.010316200
-1.200000000	-0.008819200
-1.000000000	-0.007391825
-0.800000000	-0.005892292
-0.600000000	-0.004434736
-0.400000000	-0.002949456
-0.200000000	-0.001488559
0.000000000	-0.000012521
0.200000000	0.001450742
0.400000000	0.002938384
0.600000000	0.004403299
0.800000000	0.005866562
1.000000000	0.007349960
1.200000000	0.008802275
1.400000000	0.010293300
1.600000000	0.011767460
1.800000000	0.013218940
2.000000000	0.014711600
2.200000000	0.016157180
2.400000000	0.017644010
2.600000000	0.019114830
2.800000000	0.020598270
3.000000000	0.022079930
3.200000000	0.023529720
3.400000000	0.025012410
3.600000000	0.026472260
3.800000000	0.027948130
4.000000000	0.029417200
4.200000000	0.030886370
4.400000000	0.032369710
4.600000000	0.033824530
4.800000000	0.035315710
5.000000000	0.036785580
5.200000000	0.038264910
5.400000000	0.039713700
5.600000000	0.041177000
5.800000000	0.042656340
6.000000000	0.044122050
6.200000000	0.045607910
6.400000000	0.047077880
6.600000000	0.048562210
6.800000000	0.050024620
7.000000000	0.051486220
7.200000000	0.052958720
7.400000000	0.054419290
7.600000000	0.055908330
7.800000000	0.057366110
8.000000000	0.058854590
8.200000000	0.060311790
8.400000000	0.061794210
8.600000000	0.063282130
8.800000000	0.064730200
9.000000000	0.066202510
9.200000000	0.067670930
9.400000000	0.069157680
9.600000000	0.070620280
9.800000000	0.072090340
10.000000000	0.073567590
10.200000000	0.075047020
10.400000000	0.076525450
10.600000000	0.077954850
10.800000000	0.079460080
11.000000000	0.080916660
11.200000000	0.082401930
11.400000000	0.083845670
11.600000000	0.085319620
11.800000000	0.086781050
12.000000000	0.088257330
12.200000000	0.089735050
12.400000000	0.091198240
12.600000000	0.092696090
12.800000000	0.094150270
13.000000000	0.095640110
13.200000000	0.097098180
13.400000000	0.098576430
13.600000000	0.100045700
13.800000000	0.101514800
14.000000000	0.103000600
14.200000000	0.104452100
14.400000000	0.105942300
14.600000000	0.107420800
14.800000000	0.108883400
15.000000000	0.110369100
15.200000000	0.111839600
15.400000000	0.113322400
15.600000000	0.114773000
15.800000000	0.116264300
16.000000000	0.117719400
16.200000000	0.119195500
16.400000000	0.120659900
16.600000000	0.122132300
16.800000000	0.123623700
17.000000000	0.125082200
17.200000000	0.126582100
17.400000000	0.128027000
17.600000000	0.129499100
17.800000000	0.130969400
18.000000000	0.132439700
18.200000000	0.133917200
18.400000000	0.135391700
18.600000000	0.136881600
18.800000000	0.138343000
19.000000000	0.139826900
19.200000000	0.141279800
19.400000000	0.142760900
19.600000000	0.144236300
19.800000000	0.145700300
20.000000000	0.147178900
