Current (mA)	Voltage (V)
-20.000000000	-0.048996770
-19.800000000	-0.048549300
-19.600000000	-0.048018630
-19.400000000	-0.047562660
-19.200000000	-0.047049750
-19.000000000	-0.046527550
-18.800000000	-0.046080670
-18.600000000	-0.045549230
-18.400000000	-0.045090950
-18.200000000	-0.044606440
-18.000000000	-0.044098870
-17.800000000	-0.043637680
-17.600000000	-0.043117850
-17.400000000	-0.042657830
-17.200000000	-0.042136670
-17.000000000	-0.041667780
-16.800000000	-0.041167380
-16.600000000	-0.040678030
-16.400000000	-0.040190960
-16.200000000	-0.039658600
-16.000000000	-0.039228040
-15.800000000	-0.038692710
-15.600000000	-0.038251370
-15.400000000	-0.037719120
-15.200000000	-0.037228050
-15.000000000	-0.036752810
-14.800000000	-0.036238120
-14.600000000	-0.035770520
-14.400000000	-0.035244770
-14.200000000	-0.034792240
-14.000000000	-0.034274250
-13.800000000	-0.033804890
-13.600000000	-0.033304480
-13.400000000	-0.032826050
-13.200000000	-0.032365130
-13.000000000	-0.031831030
-12.800000000	-0.031368320
-12.600000000	-0.030840460
-12.400000000	-0.030379320
-12.200000000	-0.029894030
-12.000000000	-0.029391910
-11.800000000	-0.028926890
-11.600000000	-0.028422990
-11.400000000	-0.027957240
-11.200000000	-0.027428980
-11.000000000	-0.026963870
-10.800000000	-0.026462010
-10.600000000	-0.025973090
-10.400000000	-0.025494450
-10.200000000	-0.024996570
-10.000000000	-0.024529040
-9.800000000	-0.024006890
-9.600000000	-0.023556720
-9.400000000	-0.023036190
-9.200000000	-0.022551640
-9.000000000	-0.022066540
-8.800000000	-0.021542490
-8.600000000	-0.021089950
-8.400000000	-0.020562660
-8.200000000	-0.020100880
-8.000000000	-0.019592050
-7.800000000	-0.019122890
-7.600000000	-0.018620710
-7.400000000	-0.018134670
-7.200000000	-0.017686270
-7.000000000	-0.017126190
-6.800000000	-0.016674490
-6.600000000	-0.016148100
-6.400000000	-0.015681180
-6.200000000	-0.015219530
-6.000000000	-0.014709770
-5.800000000	-0.014256400
-5.600000000	-0.013726540
-5.400000000	-0.013271610
-5.200000000	-0.012756960
-5.000000000	-0.012269120
-4.800000000	-0.011782930
-4.600000000	-0.011280870
-4.400000000	-0.010803990
-4.200000000	-0.010292600
-4.000000000	-0.009841848
-3.800000000	-0.009324592
-3.600000000	-0.008856147
-3.400000000	-0.008343101
-3.200000000	-0.007826687
-3.000000000	-0.007365859
-2.800000000	-0.006839307
-2.600000000	-0.006396058
-2.400000000	-0.005872931
-2.200000000	-0.005402779
-2.000000000	-0.004907406
-1.800000000	-0.004397748
-1.600000000	-0.003934320
-1.400000000	-0.003405306
-1.200000000	-0.002948615
-1.000000000	-0.002439780
-0.800000000	-0.001985620
-0.600000000	-0.001456592
-0.400000000	-0.000995703
-0.200000000	-0.000502852
0.000000000	-0.000017567
0.200000000	0.000492906
0.400000000	0.000938607
0.600000000	0.001455785
0.800000000	0.001967918
1.000000000	0.002426238
1.200000000	0.002948468
1.400000000	0.003399230
1.600000000	0.003916400
1.800000000	0.004416751
2.000000000	0.004877617
2.200000000	0.005377123
2.400000000	0.005867376
2.600000000	0.006355136
2.800000000	0.006876527
3.000000000	0.007315500
3.200000000	0.007839410
3.400000000	0.008294345
3.600000000	0.008807332
3.800000000	0.009323655
4.000000000	0.009781969
4.200000000	0.010321010
4.400000000	0.010765050
4.600000000	0.011288120
4.800000000	0.011754830
5.000000000	0.012236690
5.200000000	0.012748030
5.400000000	0.013216420
5.600000000	0.013736090
5.800000000	0.014192700
6.000000000	0.014715830
6.200000000	0.015184230
6.400000000	0.015676130
6.600000000	0.016169800
6.800000000	0.016623860
7.000000000	0.017157840
7.200000000	0.017618750
7.400000000	0.018153650
7.600000000	0.018607670
7.800000000	0.019081970
8.000000000	0.019586570
8.200000000	0.020048290
8.400000000	0.020577160
8.600000000	0.021030580
8.800000000	0.021547760
9.000000000	0.022030400
9.200000000	0.022522310
9.400000000	0.023018420
9.600000000	0.023489350
9.800000000	0.024012480
10.000000000	0.024461710
10.200000000	0.024980580
10.400000000	0.025442910
10.600000000	0.025972660
10.800000000	0.026444360
11.000000000	0.026932210
11.200000000	0.027452770
11.400000000	0.027904300
11.600000000	0.028427430
11.800000000	0.028897560
12.000000000	0.029387750
12.200000000	0.029882300
12.400000000	0.030363260
12.600000000	0.030880400
12.800000000	0.031336240
13.000000000	0.031872000
13.200000000	0.032336100
13.400000000	0.032842430
13.600000000	0.033305820
13.800000000	0.033769050
14.000000000	0.034300590
14.200000000	0.034751590
14.400000000	0.035289540
14.600000000	0.035746200
14.800000000	0.036245700
15.000000000	0.036740990
15.200000000	0.037215330
15.400000000	0.037726580
15.600000000	0.038179740
15.800000000	0.038706280
16.000000000	0.039160420
16.200000000	0.039676200
16.400000000	0.040144260
16.600000000	0.040653910
16.800000000	0.041174480
17.000000000	0.041634440
17.200000000	0.042147420
17.400000000	0.042603300
17.600000000	0.043119440
17.800000000	0.043612500
18.000000000	0.044091690
18.200000000	0.044599530
18.400000000	0.045072350
18.600000000	0.045598600
18.800000000	0.046054390
19.000000000	0.046566400
19.200000000	0.047036710
19.400000000	0.047545410
19.600000000	0.048020520
19.800000000	0.048482550
20.000000000	0.049018070
