(-20.000000000,-0.174084000)
(-19.800000000,-0.172340800)
(-19.600000000,-0.170606700)
(-19.400000000,-0.168850900)
(-19.200000000,-0.167145100)
(-19.000000000,-0.165360100)
(-18.800000000,-0.163649800)
(-18.600000000,-0.161881600)
(-18.400000000,-0.160163100)
(-18.200000000,-0.158440000)
(-18.000000000,-0.156671400)
(-17.800000000,-0.154956700)
(-17.600000000,-0.153174300)
(-17.400000000,-0.151459900)
(-17.200000000,-0.149696100)
(-17.000000000,-0.147978700)
(-16.800000000,-0.146221200)
(-16.600000000,-0.144484200)
(-16.400000000,-0.142741800)
(-16.200000000,-0.140969600)
(-16.000000000,-0.139269400)
(-15.800000000,-0.137485200)
(-15.600000000,-0.135791200)
(-15.400000000,-0.134014700)
(-15.200000000,-0.132283900)
(-15.000000000,-0.130533000)
(-14.800000000,-0.128792900)
(-14.600000000,-0.127048300)
(-14.400000000,-0.125299100)
(-14.200000000,-0.123583200)
(-14.000000000,-0.121796400)
(-13.800000000,-0.120090500)
(-13.600000000,-0.118313600)
(-13.400000000,-0.116605000)
(-13.200000000,-0.114877900)
(-13.000000000,-0.113125700)
(-12.800000000,-0.111399800)
(-12.600000000,-0.109635800)
(-12.400000000,-0.107924600)
(-12.200000000,-0.106144100)
(-12.000000000,-0.104427400)
(-11.800000000,-0.102667600)
(-11.600000000,-0.100934300)
(-11.400000000,-0.099192960)
(-11.200000000,-0.097429490)
(-11.000000000,-0.095723000)
(-10.800000000,-0.093954090)
(-10.600000000,-0.092246760)
(-10.400000000,-0.090522670)
(-10.200000000,-0.088811140)
(-10.000000000,-0.087064410)
(-9.800000000,-0.085300560)
(-9.600000000,-0.083585370)
(-9.400000000,-0.081816490)
(-9.200000000,-0.080107200)
(-9.000000000,-0.078329800)
(-8.800000000,-0.076618430)
(-8.600000000,-0.074851440)
(-8.400000000,-0.073132340)
(-8.200000000,-0.071406560)
(-8.000000000,-0.069653070)
(-7.800000000,-0.067932990)
(-7.600000000,-0.066161560)
(-7.400000000,-0.064450170)
(-7.200000000,-0.062683210)
(-7.000000000,-0.060951820)
(-6.800000000,-0.059216330)
(-6.600000000,-0.057465460)
(-6.400000000,-0.055736230)
(-6.200000000,-0.053980520)
(-6.000000000,-0.052269740)
(-5.800000000,-0.050500530)
(-5.600000000,-0.048776550)
(-5.400000000,-0.047016100)
(-5.200000000,-0.045257420)
(-5.000000000,-0.043541310)
(-4.800000000,-0.041767220)
(-4.600000000,-0.040066130)
(-4.400000000,-0.038295420)
(-4.200000000,-0.036571960)
(-4.000000000,-0.034820930)
(-3.800000000,-0.033078370)
(-3.600000000,-0.031344380)
(-3.400000000,-0.029585710)
(-3.200000000,-0.027877390)
(-3.000000000,-0.026101040)
(-2.800000000,-0.024385200)
(-2.600000000,-0.022616500)
(-2.400000000,-0.020901590)
(-2.200000000,-0.019180810)
(-2.000000000,-0.017419670)
(-1.800000000,-0.015703090)
(-1.600000000,-0.013931810)
(-1.400000000,-0.012216970)
(-1.200000000,-0.010449930)
(-1.000000000,-0.008737541)
(-0.800000000,-0.006961235)
(-0.600000000,-0.005252231)
(-0.400000000,-0.003495293)
(-0.200000000,-0.001748439)
(0.000000000,-0.000007475)
(0.200000000,0.001720685)
(0.400000000,0.003495919)
(0.600000000,0.005213980)
(0.800000000,0.006939616)
(1.000000000,0.008705567)
(1.200000000,0.010421950)
(1.400000000,0.012195530)
(1.600000000,0.013908450)
(1.800000000,0.015647590)
(2.000000000,0.017411910)
(2.200000000,0.019128240)
(2.400000000,0.020886710)
(2.600000000,0.022624180)
(2.800000000,0.024340430)
(3.000000000,0.026117350)
(3.200000000,0.027833720)
(3.400000000,0.029603030)
(3.600000000,0.031324510)
(3.800000000,0.033051870)
(4.000000000,0.034803480)
(4.200000000,0.036535010)
(4.400000000,0.038290850)
(4.600000000,0.040005890)
(4.800000000,0.041774100)
(5.000000000,0.043503020)
(5.200000000,0.045251440)
(5.400000000,0.046988740)
(5.600000000,0.048717890)
(5.800000000,0.050485420)
(6.000000000,0.052195060)
(6.200000000,0.053953630)
(6.400000000,0.055680710)
(6.600000000,0.057450330)
(6.800000000,0.059202510)
(7.000000000,0.060920550)
(7.200000000,0.062689220)
(7.400000000,0.064394700)
(7.600000000,0.066159670)
(7.800000000,0.067885330)
(8.000000000,0.069626090)
(8.200000000,0.071375390)
(8.400000000,0.073109230)
(8.600000000,0.074867050)
(8.800000000,0.076582630)
(9.000000000,0.078356560)
(9.200000000,0.080073830)
(9.400000000,0.081833120)
(9.600000000,0.083554930)
(9.800000000,0.085287280)
(10.000000000,0.087040540)
(10.200000000,0.088762800)
(10.400000000,0.090523550)
(10.600000000,0.092247490)
(10.800000000,0.094020200)
(11.000000000,0.095713080)
(11.200000000,0.097481140)
(11.400000000,0.099182790)
(11.600000000,0.100958800)
(11.800000000,0.102715600)
(12.000000000,0.104429500)
(12.200000000,0.106192200)
(12.400000000,0.107905500)
(12.600000000,0.109677100)
(12.800000000,0.111408700)
(13.000000000,0.113153700)
(13.200000000,0.114909500)
(13.400000000,0.116645700)
(13.600000000,0.118394200)
(13.800000000,0.120117400)
(14.000000000,0.121882700)
(14.200000000,0.123602600)
(14.400000000,0.125362400)
(14.600000000,0.127082900)
(14.800000000,0.128809100)
(15.000000000,0.130571000)
(15.200000000,0.132309400)
(15.400000000,0.134086800)
(15.600000000,0.135796700)
(15.800000000,0.137548200)
(16.000000000,0.139282400)
(16.200000000,0.141022900)
(16.400000000,0.142769700)
(16.600000000,0.144495300)
(16.800000000,0.146254100)
(17.000000000,0.147976700)
(17.200000000,0.149751900)
(17.400000000,0.151477100)
(17.600000000,0.153248500)
(17.800000000,0.154994800)
(18.000000000,0.156710300)
(18.200000000,0.158467800)
(18.400000000,0.160181400)
(18.600000000,0.161962900)
(18.800000000,0.163694200)
(19.000000000,0.165433200)
(19.200000000,0.167183000)
(19.400000000,0.168927800)
(19.600000000,0.170674400)
(19.800000000,0.172393900)
(20.000000000,0.174169300)
